date,Sleep,Steps,Heart_Rate,BBT,Weight,Calories_Burned,Active_Minutes
2024-01-01,7.5,8500,72,97.2,135.2,2100,45
2024-01-02,8.2,9200,68,97.1,135.0,2250,52
2024-01-03,6.8,7800,75,97.3,135.5,1950,38
2024-01-04,7.9,9500,70,97.0,135.1,2300,48
2024-01-05,8.5,8800,66,97.4,134.8,2200,50
2024-01-06,7.2,10200,73,97.2,135.3,2450,55
2024-01-07,8.0,7600,69,97.1,135.0,2000,42
2024-01-08,7.8,8900,71,97.3,134.9,2150,46
2024-01-09,6.5,7200,77,97.5,135.6,1850,35
2024-01-10,8.3,9600,67,97.0,135.2,2350,51
2024-01-11,7.6,8400,74,97.2,135.1,2050,44
2024-01-12,8.1,9100,68,97.1,135.0,2250,49
2024-01-13,7.4,8700,72,97.3,135.3,2100,47
2024-01-14,8.4,9800,65,97.0,135.1,2400,53
2024-01-15,7.7,8200,73,97.4,135.4,2000,43
2024-01-16,6.9,7500,76,97.6,135.7,1900,36
2024-01-17,8.2,9300,69,97.1,135.2,2300,50
2024-01-18,7.5,8600,71,97.3,135.0,2150,45
2024-01-19,8.0,9000,67,97.0,135.1,2200,48
2024-01-20,7.8,8800,70,97.2,135.3,2100,46
2024-01-21,6.7,7100,78,97.7,135.8,1800,34
2024-01-22,8.5,9700,66,97.0,135.1,2350,52
2024-01-23,7.3,8300,74,97.3,135.4,2050,44
2024-01-24,8.1,9200,68,97.1,135.2,2250,49
2024-01-25,7.6,8500,72,97.4,135.5,2100,46
2024-01-26,6.8,7800,75,97.8,135.9,1950,38
2024-01-27,8.3,9500,67,97.1,135.2,2300,50
2024-01-28,7.9,8900,69,97.0,135.0,2200,47
2024-01-29,7.4,8700,73,97.3,135.3,2150,45
2024-01-30,8.0,9100,68,97.1,135.1,2250,48
2024-01-31,7.7,8400,71,97.2,135.4,2050,43
2024-02-01,6.9,7600,76,97.6,135.7,1900,37
2024-02-02,8.4,9600,66,97.0,135.1,2350,51
2024-02-03,7.5,8200,73,97.3,135.4,2000,44
2024-02-04,8.2,9300,69,97.1,135.2,2300,49
2024-02-05,7.8,8800,70,97.2,135.3,2100,46
2024-02-06,6.6,7200,77,97.7,135.8,1850,35
2024-02-07,8.5,9800,65,97.0,135.0,2400,53
2024-02-08,7.3,8500,74,97.4,135.5,2100,45
2024-02-09,8.1,9000,68,97.1,135.2,2200,48
2024-02-10,7.6,8600,72,97.3,135.3,2150,46
2024-02-11,6.8,7700,75,97.8,135.9,1950,38
2024-02-12,8.3,9400,67,97.0,135.1,2300,50
2024-02-13,7.9,8700,69,97.2,135.4,2100,47
2024-02-14,7.4,8900,73,97.3,135.5,2150,45
2024-02-15,8.0,9200,68,97.1,135.2,2250,48
2024-02-16,7.7,8300,71,97.4,135.6,2050,43
2024-02-17,6.9,7500,76,97.6,135.8,1900,36
2024-02-18,8.4,9500,66,97.0,135.1,2350,51
2024-02-19,7.5,8100,73,97.3,135.4,2000,44
2024-02-20,8.2,9100,69,97.1,135.2,2200,49
2024-02-21,7.8,8800,70,97.2,135.3,2100,46
2024-02-22,6.7,7300,77,97.7,135.8,1850,35
2024-02-23,8.5,9700,65,97.0,135.0,2400,52
2024-02-24,7.3,8400,74,97.4,135.5,2050,44
2024-02-25,8.1,9000,68,97.1,135.2,2200,48
2024-02-26,7.6,8500,72,97.3,135.3,2100,46
2024-02-27,6.8,7800,75,97.8,135.9,1950,38
2024-02-28,8.3,9300,67,97.0,135.1,2300,50
2024-02-29,7.9,8600,69,97.2,135.4,2100,47
