date,Sleep,Steps,Heart_Rate,BBT,Weight,Calories_Burned,Active_Minutes
2024-01-01,5.2,4200,85,97.8,142.5,1800,25
2024-01-02,6.8,6800,78,97.5,142.2,2100,35
2024-01-03,4.5,3200,92,98.1,142.8,1500,18
2024-01-04,7.2,7800,75,97.3,142.0,2200,42
2024-01-05,8.1,8900,68,97.0,141.8,2400,48
2024-01-06,5.9,5500,82,97.7,142.3,1900,28
2024-01-07,6.5,7200,76,97.4,142.1,2050,38
2024-01-08,4.8,3800,88,98.0,142.6,1600,22
2024-01-09,7.8,8500,70,97.2,141.9,2300,45
2024-01-10,6.2,6100,80,97.6,142.2,1950,32
2024-01-11,5.5,4800,84,97.9,142.4,1750,26
2024-01-12,7.5,8200,72,97.3,142.0,2250,43
2024-01-13,6.8,6900,77,97.5,142.1,2100,36
2024-01-14,4.2,2900,95,98.2,142.9,1400,15
2024-01-15,8.0,9200,66,97.1,141.7,2500,50
2024-01-16,6.1,5800,81,97.7,142.3,1850,30
2024-01-17,5.8,5200,83,97.8,142.5,1800,27
2024-01-18,7.3,7600,74,97.4,142.0,2200,40
2024-01-19,6.9,7100,78,97.5,142.2,2050,37
2024-01-20,5.1,4100,86,97.9,142.6,1700,24
2024-01-21,7.6,8300,71,97.2,141.9,2300,44
2024-01-22,6.4,6500,79,97.6,142.1,2000,34
2024-01-23,4.9,3600,90,98.0,142.7,1550,20
2024-01-24,8.2,9400,65,97.0,141.8,2450,51
2024-01-25,6.7,6800,77,97.5,142.1,2100,36
2024-01-26,5.3,4500,84,97.8,142.4,1750,26
2024-01-27,7.4,7900,73,97.3,142.0,2250,41
2024-01-28,6.0,5900,80,97.6,142.2,1900,31
2024-01-29,4.6,3300,91,98.1,142.8,1500,18
2024-01-30,8.1,9000,67,97.1,141.9,2400,48
2024-01-31,6.8,7200,76,97.4,142.1,2050,38
2024-02-01,5.7,5100,82,97.8,142.5,1800,28
2024-02-02,7.2,7700,74,97.3,142.0,2200,40
2024-02-03,6.5,6600,78,97.5,142.2,2000,35
2024-02-04,4.8,3700,89,98.0,142.7,1600,22
2024-02-05,8.0,8800,68,97.2,141.8,2350,47
2024-02-06,6.2,6200,79,97.6,142.1,1950,32
2024-02-07,5.4,4700,83,97.9,142.4,1750,26
2024-02-08,7.7,8100,72,97.3,142.0,2250,43
2024-02-09,6.9,7000,77,97.5,142.1,2100,37
2024-02-10,5.0,4000,87,97.9,142.6,1700,24
2024-02-11,8.3,9500,64,97.0,141.7,2500,52
2024-02-12,6.6,6700,78,97.5,142.1,2050,35
2024-02-13,5.8,5300,82,97.8,142.4,1800,28
2024-02-14,4.3,3000,93,98.2,142.9,1450,16
2024-02-15,7.8,8600,70,97.2,141.9,2300,46
2024-02-16,6.3,6400,79,97.6,142.2,2000,33
2024-02-17,5.6,4900,83,97.8,142.5,1750,27
2024-02-18,7.5,8000,73,97.3,142.0,2250,42
2024-02-19,6.8,7100,77,97.5,142.1,2100,37
2024-02-20,4.9,3500,90,98.0,142.7,1550,20
2024-02-21,8.1,9200,66,97.1,141.8,2400,49
2024-02-22,6.4,6500,79,97.6,142.1,2000,34
2024-02-23,5.2,4200,85,97.9,142.5,1750,25
2024-02-24,7.6,8200,72,97.3,142.0,2250,43
2024-02-25,6.7,6800,77,97.5,142.1,2100,36
2024-02-26,4.7,3400,91,98.1,142.8,1500,19
2024-02-27,8.2,9400,65,97.0,141.8,2450,51
2024-02-28,6.1,6000,80,97.6,142.2,1900,31
2024-02-29,5.9,5600,81,97.7,142.3,1850,29
